binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,duplicate_1,multicollinearity 4,pd qcut1,target,random choice 2,multicollinearity 2,random choice 7,standard scaling,outliers 1,outliers 2,correlated w target 2,corr_feature_class,duplicate_2,uniform corr 2,multicollinearity 3,pd qcut3,multicollinearity 1,min max scaling,random label num 12,correlated w target 1,uniform corr 1,class,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,random choice 4_North,random choice 4_South,random choice 4_West,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,random label num 3_label num lo 2,random label num 3_label num lo 3,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2
1,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.017,0.001,-0.9991017824896424,0.16599659464219785,1,-0.9042236742875387,1,-0.0910129159027406,0.151,41670.59729996079,-0.42641770605094864,0.7498734744675057,0.41111744199500666,1.450703829930616,-0.6638599972813359,0.5656756997091668,-0.0988963544136923,0.2,0.9502874517885721,605.4716757574599,0.066,1.4842150603349746,0.23515852687439937,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.313,0.002,0.001,0.001,0.001,0.001,0.002,0.012,0.001,1.2466861830450993,1.2453520443780586,0,2.324369783092482,0,1.5517640238820916,0.15,45223.86785997847,0.01594024653385575,-2.364799017820048,0.7259971905888006,1.9352807323471777,1.153596854135379,0.5482488647454571,1.7877039214841997,0.2,-3.0602901205933164,18.136663627692634,0.093,-9.722977761526217,0.8083275401952859,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.01,0.009,0.001,0.001,0.001,0.001,0.001,0.163,0.001,0.9627768269601935,0.738532778298015,0,1.7782165547025084,1,-0.8852356115134706,0.151,55757.47300973736,0.0536000370132761,-2.364799017820048,-1.0522523658215504,-8.784290993966893,0.8593974662590766,0.7787895998480185,0.27560977796378616,0.2,-1.1959016478516935,513.6131088312513,0.147,2.342550440886839,0.904003215041042,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.001,0.003,0.001,0.101,0.001,0.001,0.193,0.013,0.001,-2.9574409509433037,1.1137730317794547,0,5.451234575139656,1,0.38872132071326215,0.152,42489.92694021957,-0.2870730689320706,4.0617129845603905,2.7992125914516555,1.24932984263571,2.0336452879154674,0.9841925656213741,1.1351131064135116,0.2,-0.5050364986986285,18.136663627692634,0.066,-9.722977761526217,0.9063323978904256,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,0.002,0.001,0.001,0.001,0.098,0.193,0.163,0.282,1.1411652716579705,-0.6750465020965893,0,2.1539258469951807,1,0.1510638826885615,0.152,57942.81868098366,-1.869366891448881,4.017376690310081,2.179122383983942,-8.784290993966893,1.05944863351561,0.7456188983873289,-3.1696340472587052,0.2,1.0677952082039108,18.136663627692634,0.075,-9.722977761526217,0.6040967352478215,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.003,0.009,0.001,0.001,0.001,0.001,0.193,0.015,0.001,2.485477863898728,0.33999421121123885,0,4.626787069235546,0,-3.190033957504223,0.134,46458.03951345924,-0.6391117167969141,3.18414227219969,5.17550853244067,-8.784290993966893,2.399635889224372,0.7003103730066704,0.8883512541592384,0.2,2.1658087698042676,18.136663627692634,0.07,0.9820463104174222,0.8261619200428207,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.313,0.001,0.001,0.001,0.001,0.001,0.001,0.011,0.001,-0.6479636736717482,0.01574823308423892,1,-1.187224231921867,1,-1.0298193169304497,0.141,47630.00104820323,-0.7498791660294654,2.269375921161804,0.10717512695273879,3.9459498023833555,-0.747560845179044,0.2172570850691884,0.3885946255135234,0.2,-1.3025083714431815,555.4589184698881,0.147,-9.722977761526217,0.2827457156224472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.313,0.009,0.001,0.001,0.001,0.001,0.193,0.017,0.001,-0.8922328125534437,-1.446425157778036,1,-1.266374292198878,0,-0.508564416214735,0.141,57940.69418433007,0.4703757435335757,-2.364799017820048,-0.12529239196065967,0.5936738383547895,-0.8182224427035356,0.6255457172590029,-1.3907563850765774,0.2,-0.5821212699340553,18.136663627692634,0.147,-9.722977761526217,0.43334390150937807,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.003,0.003,0.001,0.101,0.001,0.001,0.001,0.015,0.001,-0.7273359834485558,-0.3272763093438159,0,0.24111056261580832,1,-0.08486132549978996,0.141,53221.59179801411,-5.417139073514024,-2.364799017820048,0.08508609607227366,-8.784290993966893,-0.09154666780661158,0.6794098653678222,-0.6580016910481765,0.2,-0.21004253721631486,299.2034026910486,0.078,0.8469975731493927,0.737395509956378,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.016,0.001,0.9753643211025785,0.3048335262084701,1,-3.935564389564147,1,0.6828783248865632,0.152,42791.7070846074,-1.302825152222448,3.372426715200178,-8.619208889496608,-8.784290993966893,-1.8069333466532713,0.0007284003829561696,-3.1696340472587052,0.1,0.6967918831920907,225.26514780830504,0.066,-1.4048680967186375,0.22537976601420984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.313,0.002,0.001,0.001,0.001,0.001,0.001,0.011,0.282,0.5210909070320509,-1.171804940925933,0,1.4902846231827178,0,-0.15147144106049137,0.132,48774.57060395279,0.9064993510602947,-2.364799017820048,0.7238574261306497,-8.784290993966893,0.6640066001907508,0.0007284003829561696,-1.406020233244195,0.2,0.12634036371630325,289.6227965759782,0.081,-9.722977761526217,0.659933756233464,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.004,0.001,0.001,0.001,0.001,0.001,0.002,0.014,0.282,1.298410809303382,-0.29550573409461484,0,2.077177886048961,0,-1.723292207597436,0.141,33644.65735017423,-1.7161674082343026,3.174401084655911,-1.1447616161478316,-8.784290993966893,1.0453063757400651,0.8623186720860109,-0.690416725541866,0.2,-3.0602901205933164,399.8441905855848,0.078,-2.4985148066020546,0.6860616681439158,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
